129,0.00,0.00
129,0.00,0.00
130,0.00,0.00
130,0.00,0.00
130,0.00,0.00
130,0.00,0.00
131,0.00,0.00
131,0.00,0.00
253,0.45,3.67
254,0.45,0.00
254,0.45,0.00
254,0.45,0.00
254,0.45,0.00
255,0.45,0.00
255,0.45,0.00
255,0.45,0.00
377,0.90,3.68
378,0.90,0.00
378,0.90,0.00
378,0.90,0.00
378,0.90,0.00
379,0.90,0.00
379,0.90,0.00
379,0.90,0.00
501,1.35,3.68
502,1.35,0.00
502,1.35,0.00
502,1.35,0.00
502,1.35,0.00
503,1.35,0.00
503,1.35,0.00
503,1.35,0.00
625,0.90,-3.68
626,0.90,0.00
626,0.90,0.00
626,0.90,0.00
626,0.90,0.00
627,0.90,0.00
627,0.90,0.00
627,0.90,0.00
749,0.90,0.00
750,0.90,0.00
750,0.90,0.00
750,0.90,0.00
750,0.90,0.00
750,0.90,0.00
751,0.90,0.00
751,0.90,0.00
873,1.80,7.36
874,1.80,0.00
874,1.80,0.00
874,1.80,0.00
874,1.80,0.00
874,1.80,0.00
875,1.80,0.00
875,1.80,0.00
997,2.25,3.68
998,2.25,0.00
998,2.25,0.00
998,2.25,0.00
998,2.25,0.00
998,2.25,0.00
999,2.25,0.00
999,2.25,0.00
1121,1.35,-7.35
1122,1.35,0.00
1122,1.35,0.00
1122,1.35,0.00
1122,1.35,0.00
1122,1.35,0.00
1123,1.35,0.00
1245,1.35,0.00
1245,1.35,0.00
1246,1.35,0.00
1246,1.35,0.00
1246,1.35,0.00
1246,1.35,0.00
1246,1.35,0.00
1247,1.35,0.00
1369,1.35,0.00
1369,1.35,0.00
1370,1.35,0.00
1370,1.35,0.00
1370,1.35,0.00
1370,1.35,0.00
1371,1.35,0.00
1493,0.90,-3.67
1493,0.90,0.00
1494,0.90,0.00
1494,0.90,0.00
1494,0.90,0.00
1494,0.90,0.00
1494,0.90,0.00
1617,0.45,-3.68
1617,0.45,0.00
1617,0.45,0.00
1618,0.45,0.00
1618,0.45,0.00
1618,0.45,0.00
1618,0.45,0.00
1619,0.45,0.00
1741,-7.65,-66.11
1741,-7.65,0.00
1742,-7.65,0.00
1742,-7.65,0.00
1742,-7.65,0.00
1742,-7.65,0.00
1743,-7.65,0.00
1865,-19.35,-95.52
1865,-19.35,0.00
1866,-19.35,0.00
